,Cod_Loc,IdProvincia,IdDepartamento,categoria,subcategoria,provincia,localidad,nombre,direccion,piso,CP,cod_area,telefono,Mail,Web
0,6588100,6,6588,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,9 de julio,Archivo Y Museo Histórico Gral. Julio De Vedia,Libertad 1191,,B6500EVL,2317.0,425 279,archivoymuseo@yahoo.com.ar,www.portaldel9.com.ar
1,6077010,6,6077,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Arrecifes,Museo Y Archivo Histórico De Arrecifes,Gerardo Risso y España,,B2740FMJ,2478.0,452 931,museoarrecifes@hotmail.com,
2,6035010,6,6035,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Avellaneda,Museo Histórico-Sacro  Hno. Rogelio Scortegagna,Calle 11 (Av. San Martín) Nº 830,,S3561AKT,3482.0,481 200,,
3,6035010,6,6035,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Avellaneda,Museo Municipal De Artes Plásticas De Avellaneda,"Sarmiento 101, 1 º Piso",,B1870CBC,11.0,4205 9567,,
4,6049020,6,6049,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Azul,Museo Etnográfico Y Archivo Histórico Enrique Squirru,Bartolomé J. Ronco 654,,B7300XAA,2281.0,434 811,museoazul@yahoo.com,
5,6056010,6,6056,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Bellas Artes,Sarmiento 450,,B8000HQJ,291.0,459 4006,mac@bblanca.com.ar,
6,6056010,6,6056,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Ciencias,Castelli 3702,,B8003APV,291.0,488 3266,,
7,6056010,6,6056,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo Y Parque Estereoscópico El Histórico Café Museo,Italia 19,,B8000DKA,291.0,451 0675,,
8,6056010,6,6056,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Arte Contemporáneo,Sarmiento 450,,B8000HQJ,291.0,459 4006,mac@bblanca.com.ar,
9,6056010,6,6056,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo Y Archivo Histórico Municipal,Dorrego 116 Sub Suelo,,B8000FLD,291.0,456 3117,,
10,6063010,6,6063,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Balcarce,Museo Juan Manuel Fangio,Dardo Rocha y Bartolomé Mitre,,B7620BGN,2266.0,425 540,,
11,6063010,6,6063,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Balcarce,Museo Histórico Municipal,32 y 35 Emplazado en el Cerro el Triunfo,,B7620CFA,2266.0,421 800,,
12,6490010,6,6490,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Banfield,Museo De Artes Plásticas Pío Collivadino,Medrano 165,,B1828IPC,11.0,4202 5223,,
13,6070010,6,6070,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Baradero,Museo Aeronáutico Baradero Vicente 'Tito' Churín,Jorge Newbery 1450,,B2942EXR,3329.0,481 689,aeroclub_baradero@hotmail.com,
14,6756010,6,6756,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Beccar,Museo Lucy Mattos,Av. Libertador 17426,,B1643CRO,11.0,4732 2585,,
15,6098010,6,6098,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Museo De La Soda Y El Sifón,60 N° 768 / 128 (Rotonda),,B1924CKS,221.0,424 8537,,
16,6098010,6,6098,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Asociación 1871 Museo De Berisso,Av. 32 Esq. Montevideo,,1923,221.0,461 3166,,
17,6098010,6,6098,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Museo Ornitolólogico Municipal De Berisso,Montevideo 821,,B1923HMH,221.0,464 5574,,
18,6658010,6,6658,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bernal,Museo Municipal Histórico Regional Almirante Brown,25 de mayo 0198,,B1876AWD,11.0,4252 5508,,
19,6028010,6,6028,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Burzaco,Museo Claudio León Sempere,Colón 581,,B1852BSE,11.0,4299 7279,,
20,6266020,6,6266,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Capilla del Señor,Museo Del Periodismo Bonaerense,Rivadavia 477,,B2812DII,,,,
21,6266020,6,6266,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Capilla del Señor,Museo De Arte Sacro Amalia Sosa Palacio De Carol,Bolívar 338,,B2812AVH,2323.0,492 981,,
22,6007010,6,6007,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carhue,Museo Regional Dr. Adolfo Alsina,Rivadavia y Laprida,,6430,2936.0,430 967,,
23,6602030,6,6602,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Histórico Regional Emma Nozzi,J.J.Biedma 64,,B8504BVB,2920.0,462 729,,
24,6602030,6,6602,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Carmen De Patagones De La Prefectura Naval Argentina,Mitre 350,,B8504BUF,2920.0,461 742,,
25,6840010,6,6840,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Caseros,Palacio San José - Museo Y Monumento Histórico Nacional Justo José De Urquiza,Ruta Provincial 39 Km. 128 (Desvio al Norte 3 Km.),,E3262AZR,3442.0,432 620,,
26,6210020,6,6210,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chacabuco,Museo Y Archivo Histórico,Moreno 171,,B6740EGC,2352.0,426 699,,
27,6357080,6,6357,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chapadmalal,Museo Unidad Turística Chapadmalal Eva Perón,Ruta Nº 11 Km 33.5 Hotel Nº 5.,,5857,223.0,469 9291,,
28,6217010,6,6217,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chascomus,Museo Pampeano,Avda. Lastra y Muñiz,,B7130FRA,2241.0,430 982,,
29,6224010,6,6224,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo De Artes Plásticas Pompeo Boggio,Bolívar 319,,B6620HBG,2346.0,422 113,culturachivilcoy@hotmail.com,
30,6224010,6,6224,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Histórico Municipal F. A. Castagnino,9 de julio 0177,,B6620FKC,2346.0,422 185,,
31,6224010,6,6224,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Arqueológico Municipal,9 de julio 0177,,B6620FKC,2346.0,422 185,,
32,6840010,6,6840,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ciudadela,Museo Histórico Del Ejército Argentino,Carlos Pellegrini 4000,,B1702BDV,11.0,4653 1818,museoejercito@gmail.com,www.dahe.ejercito.mil.ar
33,6833020,6,6833,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Claromeco,Museo Regional De Claromecó Aníbal Paz,Calle 28 Entre 9 y 11 S/N,,7505,2982.0,480 213,museoclaromeco@gimeil.com,
34,6119050,6,6119,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Brandsen,Micro Cosmo Museum 1Er. Complejo Museístico Mundial Del Microcosmos,Azcuénaga 926,,B1980EIT,2223.0,344 5628,,
35,6189030,6,6189,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Dorrego,Museo Regional Dr. Carlos Funes Derieul,Maciel 555,,B8150CSK,2921.0,409 228,,
36,6196010,6,6196,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Antimuseo Pillahuincó,Cabrera 455,,B7530DJI,2922.0,462 680,,
37,6196010,6,6196,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Agrario Y De Transporte,Sáenz Peña y Stagmann,,7530,2922.0,406 2680,,
38,6196010,6,6196,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo De Ciencias Naturales,Alem 1375,,B7530ALE,2922.0,463 688,,
39,6196010,6,6196,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Municipal De Bellas Artes,Juan P. Cabrera 455,,B7530DJI,2922.0,462 680,,
40,6196010,6,6196,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Pringles De Arqueología E Historia,Alvear Entre Colón y España,,7530,2922.0,462 459,,
41,6196010,6,6196,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Miguel G. Flesia,Stegmann 1032,,B7530DBV,2922.0,466 166 INT 32,,
42,6238010,6,6238,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Histórico Provincial Libres Del Sur,Juan Bautista Selva 390,,B7100BIH,2245.0,442 730,,
43,6238010,6,6238,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Del Colegio Nacional Aristóbulo Del Valle,Crámer 450,,B7100ADJ,2245.0,446 276,,
44,6392040,6,6392,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Emilio V. Bunge,Museo Comunal Pedro Bargero,Gobernador Arias 496,,B6241AIJ,3388.0,493 535,bargero@servicoopsa.com.ar,
45,6245010,6,6245,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Y Biblioteca Juan Guarnieri - Casa Huarpe,Leandro N. Alem 1081,,B1925BNS,221.0,460 2370,,
46,6245010,6,6245,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Histórico Fuerte De La Ensenada De Barragán,Avda. Almirante Brown y Calle 60 Punta Lara,,1925,221.0,469 1642,,
47,6245010,6,6245,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Contraalmirante Rafael E. Chalier,Río Santiago - Escuela Naval Militar,,1927,221.0,4317 2396,,
48,6274010,6,6274,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florencio Varela,Museo Histórico Provincial Guillermo E. Hudson,"Calle 1356 (El Zaino), Entre Av. Hudson y 1379",,1888,2229.0,497 314,,
49,6861010,6,6861,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo De La Piedra Argentina,Esteban Echeverría 333,,1602,11.0,4760 9138,,
50,6861010,6,6861,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo Forrajeria De La Familia García,Gral. José María Paz 1584,,B1602AYD,11.0,4796 9556,,
51,6301010,6,6301,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,General Belgrano,Museo Histórico Municipal Alfredo E. Múlgura,Avda. Larrea 454,,B7223GUO,,,,
52,6322010,6,6322,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Gral. la Madrid,Archivo Y Museo Histórico Juan Carlos Pacín,San Martín 545,,B7406AMK,,,,
53,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia De La Medicina Dr. Santiago Garostiague,Avda. 60 y 120 Facultad de Ciencias Médicas,,1900,221.0,424 1596 INT 374,,
54,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Galería Fotográfica Mugafo Centro Cultural Islas Malvinas,Calle 19 E/ 50 y 51,,B1900TQU,221.0,417 6795,,
55,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Anatomía Veterinaria Dr. Víctor Manuel Arroyo,Calle 60 y 118,,B1904AAO,221.0,423 6663 INT 424,,
56,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia Militar Teniente General Julio Argentino Roca,Calle 137 y 635,,1909,221.0,450 1214,,
57,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Almafuerte,Calle 66 530,,B1904ASJ,221.0,427 5631,,
58,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Provincial De Bellas Artes Emilio Pettoruti,Avda. 51 N° 525 E/5 y 6,,B1900AVK,221.0,421 8619,,
59,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Pictórico Indigenista Yana Kúntur,"Calle 516, N°2479 Entre 19 y 20",,1900,221.0,484 2526,,
60,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Instrumentos Musicales Dr. Emilio Azzarini,Calle 45 Nro. 582,,B1900ADX,221.0,424 0401,museo azzarini@hotmail.com,
61,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Artesanía Tradicional Argentina Y Latinoamericanajuan Alfonso Carrizo,Calle 2 N° 417,,B1902CHQ,221.0,424 4684,,
62,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo José Juan Podestá,10 N° 727 Entre 46 y 47,,B1900TIY,221.0,424 8457,,
63,6441030,6,6441,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Latinoamericano (Macla),50 E/ 6 y 7 Pasaje Dardo Rocha,,B1900ASW,221.0,427 1843,,
